system,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
CiirAll1,0.1266,0.1433,0.1397,0.1465,0.0856,0.0866,0.1608,0.1274,0.082,0.0421,0.0963,0.0783,0.1009,0.1179,0.1035,0.0891,0.1051,0.1208,0.1594,0.1017,0.1234,0.1127,0.0885,0.0842,0.093,0.1375,0.1196,0.1332,0.0756,0.1107,0.2001,0.1033,0.1209,0.1035,0.1113,0.0811,0.1466,0.1259,0.1284,0.1502,0.0941,0.043,0.0585,0.0708,0.151,0.1481,0.1005,0.0714,0.0892,0.0642
CiirSdm,0.1228,0.1377,0.2348,0.2276,0.1042,0.1396,0.2236,0.1875,0.2541,0.1608,0.1579,0.0721,0.0758,0.1072,0.156,0.1723,0.0944,0.0941,0.1645,0.0203,0.1177,0.1155,0.1801,0.1136,0.2323,0.0867,0.102,0.2158,0.1749,0.0541,0.2159,0.1025,0.1616,0.2015,0.1281,0.1436,0.2318,0.1943,0.1256,0.2232,0.1161,0.0706,0.0965,0.1182,0.2435,0.1969,0.1551,0.1166,0.1732,0.0481
CiirWikiRm,0.1224,0.1384,0.2257,0.2485,0.085,0.0549,0.223,0.1876,0.2232,0.1521,0.1034,0.0438,0.0761,0.0233,0.1023,0.1494,0.1481,0.0542,0.1258,0.0417,0.0063,0.1523,0.2017,0.1077,0.1724,0.0703,0.1281,0.2445,0.1799,0.0422,0.2103,0.1248,0.1842,0.1536,0.107,0.1131,0.2287,0.1897,0.0961,0.2287,0.1224,0.0486,0.0544,0.0157,0.2408,0.2403,0.1893,0.071,0.1797,0.0405
ICTNET14ADR1,0.0811,0.0566,0.1014,0.1543,0.0458,0.0939,0.0854,0.0816,0.0992,0.0652,0.0506,0.096,0.1109,0.0812,0.1611,0.1219,0.105,0.0747,0.1118,0.1069,0.0544,0.0492,0.1358,0.0502,0.1052,0.0477,0.0544,0.0918,0.0743,0.0587,0.175,0.0441,0.0988,0.1192,0.0684,0.0757,0.1408,0.0753,0.078,0.1041,0.1666,0.0553,0.038,0.0468,0.1668,0.0863,0.0962,0.0535,0.0959,0.0561
ICTNET14ADR2,0.087,0.0551,0.0672,0.1442,0.0458,0.0911,0.0712,0.0836,0.0809,0.0696,0.0437,0.0823,0.1109,0.0819,0.1318,0.1179,0.1043,0.067,0.0949,0.1147,0.0522,0.05,0.1014,0.0449,0.0951,0.052,0.0475,0.0898,0.0703,0.0476,0.175,0.0425,0.0557,0.1174,0.0735,0.0759,0.0931,0.0749,0.0729,0.0799,0.131,0.0538,0.0289,0.0455,0.1668,0.0959,0.086,0.0529,0.0776,0.0517
ICTNET14ADR3,0.0811,0.0559,0.1076,0.1644,0.0371,0.0835,0.0836,0.0872,0.0979,0.0611,0.0512,0.0998,0.1109,0.0778,0.1751,0.127,0.1037,0.0796,0.1073,0.0998,0.0528,0.0501,0.1335,0.0486,0.1073,0.0466,0.0603,0.0929,0.0697,0.0533,0.175,0.0436,0.1261,0.117,0.0567,0.0703,0.1337,0.0864,0.0721,0.1254,0.14,0.0565,0.0372,0.0458,0.1668,0.0836,0.1039,0.0522,0.0957,0.0499
Protoss,0.1003,0.1523,0.1707,0.2508,0.0739,0.1417,0.1597,0.0958,0.1464,0.0437,0.1145,0.0844,0.1543,0.1202,0.1692,0.0924,0.1208,0.1335,0.1192,0.1002,0.138,0.1279,0.0813,0.083,0.1817,0.0735,0.1313,0.0978,0.0695,0.1061,0.2448,0.1362,0.1568,0.1326,0.1283,0.0987,0.1744,0.1538,0.0962,0.1797,0.1563,0.1191,0.0937,0.049,0.1145,0.1435,0.1155,0.0885,0.0975,0.0281
SNUMedinfo11,0.1108,0.1168,0.2141,0.127,0.0831,0.1264,0.2476,0.1777,0.2415,0.1673,0.1249,0.0624,0.0315,0.0975,0.1474,0.1097,0.0697,0.0665,0.1655,0.1691,0.118,0.0626,0.1414,0.0916,0.2152,0.0927,0.1022,0.204,0.1649,0.1155,0.1979,0.053,0.1883,0.1916,0.1051,0.0848,0.2085,0.1713,0.0828,0.2277,0.1752,0.0946,0.0658,0.1164,0.2357,0.2115,0.1478,0.0407,0.1991,0.0314
SNUMedinfo12,0.0915,0.0724,0.1754,0.1389,0.0617,0.1331,0.1759,0.0966,0.2218,0.1014,0.1191,0.0769,0.0344,0.096,0.1256,0.0634,0.0648,0.0953,0.1647,0.1234,0.1116,0.022,0.0573,0.0525,0.1583,0.1019,0.1157,0.1588,0.0852,0.1475,0.2481,0.0413,0.142,0.1537,0.065,0.0752,0.2358,0.1501,0.0449,0.2444,0.1582,0.0662,0.0843,0.0838,0.1808,0.1632,0.1459,0.032,0.1764,0.032
Terran,0.1041,0.1193,0.1941,0.2508,0.0834,0.1374,0.1557,0.0932,0.1247,0.0526,0.1209,0.0867,0.1597,0.1113,0.1544,0.0961,0.1162,0.1314,0.1087,0.1053,0.1291,0.1172,0.0813,0.0873,0.1701,0.0785,0.1253,0.0978,0.0911,0.0989,0.2189,0.1302,0.1555,0.1418,0.125,0.1119,0.1747,0.139,0.1002,0.1801,0.1747,0.1301,0.0868,0.0499,0.106,0.1605,0.1092,0.0885,0.0948,0.0245
UDInfoWebAX,0.1217,0.1088,0.146,0.1574,0.0331,0.0662,0.1548,0.0617,0.1389,0.0265,0.1311,0.1255,0.0881,0.0827,0.1108,0.107,0.0397,0.0786,0.097,0.0803,0.0928,0.0735,0.0989,0.0507,0.1276,0.0598,0.0919,0.1312,0.0683,0.051,0.2527,0.1035,0.111,0.0979,0.1544,0.0519,0.1733,0.1332,0.0585,0.1297,0.1423,0.0721,0.0355,0.0461,0.1384,0.1201,0.1682,0.1452,0.0988,0.0767
UDInfoWebENT,0.1518,0.1078,0.1332,0.1723,0.032,0.0668,0.1339,0.0618,0.1723,0.0242,0.1204,0.0976,0.0768,0.0765,0.1203,0.076,0.0392,0.077,0.0903,0.07,0.0907,0.072,0.1048,0.0698,0.1263,0.0647,0.0908,0.1503,0.0858,0.0624,0.245,0.1492,0.1014,0.1108,0.1101,0.039,0.1744,0.0971,0.0429,0.1257,0.1816,0.0558,0.0462,0.044,0.139,0.1272,0.1403,0.1156,0.1026,0.0583
UDInfoWebLES,0.1401,0.1167,0.1431,0.155,0.0288,0.0598,0.1672,0.0652,0.1649,0.0273,0.1101,0.1374,0.0763,0.0855,0.1128,0.1169,0.0303,0.0745,0.1211,0.0835,0.1069,0.0783,0.104,0.0547,0.1355,0.0538,0.0931,0.1468,0.069,0.0521,0.2571,0.1065,0.112,0.0993,0.1609,0.055,0.1752,0.1267,0.0598,0.1286,0.1492,0.0699,0.0353,0.0435,0.1397,0.1107,0.1707,0.1347,0.0941,0.0687
Zerg,0.1083,0.1495,0.1767,0.2506,0.0717,0.1173,0.1496,0.1091,0.136,0.0448,0.1162,0.0804,0.1662,0.1365,0.142,0.0922,0.1207,0.127,0.1163,0.0928,0.1346,0.1281,0.0811,0.0878,0.1792,0.0823,0.1233,0.1043,0.0639,0.1042,0.232,0.1348,0.1619,0.1298,0.1387,0.0938,0.1969,0.1551,0.0998,0.1925,0.186,0.129,0.0831,0.0476,0.1094,0.1303,0.1147,0.094,0.1241,0.0427
uogTrDuax,0.1206,0.126,0.2596,0.2043,0.0586,0.102,0.2122,0.1942,0.2125,0.1093,0.1811,0.1403,0.1208,0.1042,0.1733,0.1305,0.148,0.1013,0.1257,0.1914,0.1273,0.0908,0.2082,0.1138,0.227,0.0657,0.1892,0.2679,0.1271,0.1344,0.229,0.0693,0.1219,0.1811,0.1296,0.1072,0.1875,0.1725,0.1332,0.2046,0.1559,0.11,0.0927,0.0574,0.2129,0.1537,0.1923,0.1626,0.1325,0.0472
uogTrDwl,0.1416,0.1767,0.2896,0.2559,0.063,0.1338,0.2012,0.2422,0.2687,0.1326,0.1413,0.1441,0.1681,0.1139,0.2644,0.2348,0.1559,0.1115,0.2229,0.1699,0.2113,0.129,0.2314,0.1452,0.2229,0.0873,0.2251,0.2341,0.1664,0.1565,0.2217,0.1051,0.1879,0.1895,0.2072,0.1375,0.2049,0.1894,0.1095,0.2842,0.2179,0.0636,0.1472,0.0638,0.2947,0.1484,0.2309,0.17,0.1814,0.0554
uogTrIwa,0.1316,0.1863,0.2884,0.2369,0.0618,0.1564,0.1924,0.2271,0.2588,0.1002,0.2073,0.1162,0.1604,0.109,0.1887,0.1876,0.1557,0.0643,0.1802,0.1995,0.1848,0.1733,0.2259,0.13,0.2495,0.0993,0.2059,0.2523,0.1298,0.1566,0.2544,0.0823,0.1549,0.2114,0.157,0.1149,0.227,0.179,0.1589,0.2402,0.1797,0.1155,0.0878,0.0609,0.2354,0.1331,0.2267,0.1365,0.1439,0.0417
utbase,0.0791,0.0417,0.1348,0.1398,0.0289,0.0173,0.0912,0.1247,0.0626,0.104,0.0703,0.0832,0.0944,0.0635,0.1243,0.0665,0.0431,0.0468,0.0738,0.104,0.0272,0.0746,0.1745,0.0609,0.0831,0.0483,0.0477,0.1071,0.0666,0.0097,0.1286,0.021,0.054,0.0815,0.0545,0.0872,0.0267,0.1595,0.041,0.1173,0.1237,0.0529,0.0608,0.0583,0.0927,0.0778,0.0957,0.0764,0.1699,0.0119
utexact,0.0791,0.0417,0.1259,0.1347,0.0295,0.0173,0.0831,0.1233,0.0643,0.1045,0.0703,0.0847,0.0923,0.0635,0.1165,0.093,0.0376,0.043,0.052,0.1056,0.0272,0.0697,0.1624,0.0585,0.0911,0.0483,0.0477,0.1156,0.0626,0.0085,0.1276,0.021,0.054,0.0815,0.0577,0.0872,0.0267,0.1524,0.0432,0.1055,0.1186,0.0529,0.0608,0.0456,0.1127,0.0762,0.0917,0.0764,0.1377,0.01
webisWt14axAll,0.0656,0.0658,0.1106,0.0659,0.0616,0.0769,0.0699,0.0678,0.0944,0.0713,0.0661,0.0387,0.0687,0.0543,0.064,0.052,0.0653,0.0243,0.0824,0.0502,0.1294,0.037,0.0566,0.0627,0.0995,0.0306,0.0641,0.1203,0.0566,0.0555,0.0661,0.0834,0.0673,0.0953,0.0359,0.1075,0.0984,0.0619,0.0678,0.1023,0.0637,0.0534,0.0331,0.0404,0.0809,0.0571,0.0858,0.055,0.0661,0.0158
webisWt14axMax,0.0563,0.0761,0.1068,0.0704,0.0497,0.0741,0.07,0.1087,0.0873,0.054,0.0663,0.0492,0.0801,0.0464,0.0691,0.0484,0.0552,0.033,0.0819,0.0479,0.1179,0.0443,0.0574,0.0475,0.115,0.0271,0.0584,0.1286,0.0857,0.0625,0.0908,0.1051,0.0675,0.1295,0.0375,0.1123,0.1122,0.0567,0.0443,0.0817,0.0534,0.0473,0.0678,0.0406,0.1022,0.0702,0.0784,0.0845,0.0671,0.0166
webisWt14axSyn,0.0563,0.0761,0.1068,0.0704,0.0497,0.0741,0.07,0.1087,0.0873,0.054,0.0663,0.0492,0.0801,0.0464,0.0691,0.0484,0.0552,0.033,0.0819,0.0479,0.1179,0.0443,0.0574,0.0475,0.115,0.0271,0.0584,0.1286,0.0857,0.0625,0.0908,0.1051,0.0675,0.1295,0.0375,0.1123,0.1122,0.0567,0.0443,0.0817,0.0534,0.0473,0.0678,0.0406,0.1022,0.0702,0.0784,0.0845,0.0671,0.0166
wistud.runA,0.0661,0.158,0.1565,0.1682,0.0634,0.1041,0.1507,0.0989,0.1349,0.028,0.1099,0.1067,0.1846,0.1328,0.1136,0.0793,0.1159,0.0954,0.132,0.0895,0.1291,0.1147,0.0852,0.0649,0.1353,0.0756,0.1202,0.1193,0.0751,0.1404,0.2342,0.094,0.1595,0.1436,0.1035,0.088,0.1802,0.1279,0.116,0.2005,0.151,0.0616,0.1037,0.0693,0.1342,0.1263,0.1253,0.1184,0.1162,0.0467
wistud.runB,0.079,0.0761,0.1482,0.1063,0.0381,0.0597,0.139,0.0748,0.1275,0.036,0.0975,0.0507,0.0846,0.0822,0.1248,0.0886,0.0968,0.0708,0.0746,0.0802,0.11,0.0972,0.0938,0.051,0.1006,0.0846,0.1141,0.1233,0.0934,0.0598,0.2056,0.1291,0.129,0.1114,0.0835,0.0705,0.1676,0.1114,0.087,0.1382,0.1092,0.0477,0.0971,0.0606,0.1292,0.1784,0.1189,0.0945,0.0857,0.0519
wistud.runC,0.079,0.0761,0.1482,0.1063,0.0381,0.0597,0.139,0.0748,0.1275,0.036,0.0975,0.0507,0.0846,0.0822,0.1248,0.0886,0.0968,0.0708,0.0746,0.0802,0.11,0.0972,0.0938,0.051,0.1006,0.0846,0.1141,0.1233,0.0934,0.0598,0.2056,0.1291,0.129,0.1114,0.0835,0.0705,0.1676,0.1114,0.087,0.1382,0.1092,0.0477,0.0971,0.0606,0.1292,0.1784,0.1189,0.0945,0.0857,0.0519
